IAGA,GLON,GLAT,MLON,MLAT,Station name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SON,66.44,25.12,139.66,19.4,Sonmiani,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,13%,95%,91%,96%,82%,88%
AMU,210.13,61.24,-93.65,61.26,Anchorage,0%,0%,0%,0%,0%,0%,0%,80%,93%,39%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
YKC,245.52,62.48,-57.18,69.41,Yellowknife,99%,94%,100%,100%,100%,86%,100%,100%,63%,97%,98%,99%,100%,100%,99%,95%,100%,94%,80%,84%
CBB,254.97,69.12,-48.23,77.05,Cambridge Bay,99%,100%,99%,97%,100%,100%,100%,99%,100%,100%,95%,100%,100%,94%,93%,91%,97%,100%,92%,10%
RES,265.11,74.69,-36.09,82.95,Resolute Bay,100%,100%,100%,100%,100%,100%,93%,99%,100%,100%,100%,96%,100%,100%,100%,100%,100%,94%,98%,99%
BLC,263.99,64.32,-30.38,73.62,Baker Lake,100%,100%,100%,100%,100%,88%,83%,64%,93%,99%,100%,99%,100%,100%,98%,95%,100%,99%,72%,93%
MEA,246.65,54.62,-52.4,61.86,Meanook,100%,100%,100%,100%,98%,100%,100%,92%,99%,99%,91%,96%,100%,100%,100%,100%,100%,99%,100%,98%
SIT,224.67,57.06,-78.11,59.84,Sitka,100%,98%,100%,100%,99%,100%,97%,99%,99%,100%,100%,99%,98%,96%,98%,100%,100%,100%,100%,100%
PBQ,282.26,55.28,-0.01,65.08,Poste de la Baleine,100%,99%,97%,100%,100%,94%,100%,49%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
MEK,30.97,62.77,108.58,59.49,Mekrijaervi,0%,0%,0%,0%,25%,96%,88%,97%,100%,99%,91%,98%,95%,85%,89%,98%,97%,82%,96%,97%
STJ,307.32,47.6,31.55,52.7,St Johns,92%,100%,97%,99%,100%,99%,97%,99%,95%,49%,73%,43%,97%,100%,100%,100%,97%,100%,99%,99%
ALE,297.5,82.5,87.98,87.14,Alert,98%,89%,97%,100%,97%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LRV,338.3,64.18,66.69,64.99,Leirvogur,100%,100%,100%,100%,100%,100%,0%,0%,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%
BOU,254.76,40.14,-38.93,48.59,Boulder,94%,99%,100%,100%,99%,91%,98%,100%,99%,100%,100%,100%,100%,99%,100%,100%,98%,99%,100%,100%
FRN,240.28,37.09,-55.12,42.7,Fresno,89%,97%,99%,89%,99%,99%,98%,97%,0%,97%,99%,99%,99%,100%,93%,0%,96%,100%,100%,96%
VIC,236.58,48.52,-62.31,53.63,Victoria,99%,100%,100%,100%,100%,100%,96%,100%,99%,100%,99%,99%,100%,98%,99%,100%,100%,100%,99%,100%
NEW,242.88,48.27,-55.08,54.67,Newport,96%,94%,96%,94%,89%,96%,99%,98%,100%,100%,100%,100%,100%,99%,96%,97%,100%,99%,100%,100%
LOV,17.83,59.35,96.06,56.21,Lovo,100%,100%,100%,100%,32%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
LER,358.82,60.13,80.91,58.17,Lerwick,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
VAL,349.75,51.93,70.36,49.15,Valentia,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,85%,99%,98%,100%,88%,68%
HAD,355.52,50.98,74.68,47.4,Hartland,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%
ESK,356.8,55.32,77.2,52.73,Eskdalemuir,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,100%,100%,99%,100%,100%
MAB,5.68,50.3,82.8,46.01,Manhay,98%,98%,99%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,99%,8%,11%,27%,32%,93%,82%
DOU,4.6,50.1,81.84,45.78,Dourbes,100%,100%,100%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,8%,8%,33%,33%,99%,83%
BFE,11.67,55.62,89.49,52.24,Brorfelde,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%,99%,100%,77%,99%,98%,100%,99%,100%,92%,91%
CLF,2.27,48.02,79.35,43.16,Chambon la foret,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,98%,100%,100%,14%
OTT,284.45,45.4,2.32,55.1,Ottawa,100%,100%,100%,100%,100%,100%,100%,99%,98%,99%,100%,100%,97%,100%,100%,99%,100%,100%,100%,100%
WNG,9.07,53.75,86.68,50.14,Wingst,100%,100%,100%,100%,99%,100%,100%,100%,100%,99%,100%,100%,100%,99%,100%,100%,100%,100%,98%,98%
VRE,292.38,-17.28,3.84,-4.68,Villa Remedios,0%,0%,3%,85%,94%,100%,97%,95%,91%,90%,70%,98%,94%,96%,0%,0%,0%,0%,0%,0%
SHE,354.27,-15.95,63.53,-25.7,St. Helena,0%,0%,0%,0%,0%,0%,0%,29%,22%,39%,95%,99%,99%,59%,0%,0%,0%,0%,0%,0%
SMA,334.87,36.99,55.41,30.6,Santa Maria/Azoren,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
PNL,303.83,-16.68,14.09,-7.93,Pantanal,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
THY,17.54,46.9,92.17,41.75,Tihany,99%,100%,100%,100%,100%,99%,100%,100%,100%,100%,100%,99%,100%,100%,99%,97%,95%,95%,97%,97%
BEL,20.8,51.83,96.2,47.69,Belsk,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,100%
FUR,11.28,48.17,86.98,43.24,Furstenfeldbruk,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,91%,100%,63%,97%,97%,92%,95%
NGK,12.68,52.07,89.21,48.03,Niemegk,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,98%
BDV,14.02,49.07,89.57,44.37,Budkov,100%,100%,100%,100%,100%,100%,100%,100%,100%,99%,99%,99%,100%,98%,45%,53%,89%,94%,92%,94%
FRD,282.63,38.2,-0.86,48.2,Fredericksburg,100%,100%,98%,98%,95%,99%,99%,99%,98%,98%,100%,100%,99%,99%,99%,99%,100%,100%,100%,100%
CRP,275.09,10.44,-12.78,21.66,Chiripa,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,93%,0%,0%,0%,0%,0%,0%,0%,0%,0%
